Batch_ID,Raw_CaO,Raw_SiO2,Raw_Al2O3,Raw_Fe2O3,Raw_MgO,Raw_SO3,LOI
BATCH_0773,42.3,14.02,2.83,2.1,1.11,0.53,36.04
BATCH_0774,43.24,14.13,3.6,1.98,1.34,0.4,34.94
BATCH_0775,42.8,14.39,3.14,2.58,1.38,0.41,34.61
BATCH_0776,44.39,12.83,3.65,2.05,1.17,0.38,34.77
BATCH_0777,42.84,15.04,2.87,2.1,1.49,0.52,34.95
BATCH_0778,41.74,14.07,3.6,2.48,1.47,0.45,35.65
BATCH_0779,44.75,13.04,3.28,2.41,1.23,0.41,35.97
BATCH_0780,43.76,13.63,3.0,1.98,1.81,0.42,36.41
BATCH_0781,43.22,14.51,2.52,2.07,1.74,0.48,36.21
BATCH_0782,43.65,13.3,3.08,2.48,1.32,0.32,35.95
BATCH_0783,42.37,13.06,2.92,2.12,1.12,0.51,35.98
BATCH_0784,44.63,14.63,3.01,1.54,1.36,0.37,34.94
BATCH_0785,44.2,13.56,2.71,2.09,1.17,0.4,35.48
BATCH_0786,44.25,13.71,3.21,1.8,1.6,0.46,35.58
BATCH_0787,44.12,13.63,2.84,1.93,1.25,0.53,35.43
BATCH_0788,43.8,13.91,3.5,2.1,1.05,0.36,35.51
BATCH_0789,43.75,12.84,3.08,1.79,1.55,0.37,34.95
BATCH_0790,43.65,14.09,2.78,2.08,1.45,0.36,36.06
BATCH_0791,41.81,13.51,3.33,2.33,1.4,0.32,35.35
BATCH_0792,43.75,13.58,3.47,2.12,1.38,0.35,35.57
BATCH_0793,42.62,13.87,3.34,1.97,1.29,0.33,35.05
BATCH_0794,42.88,12.66,4.14,2.07,1.61,0.28,34.69
BATCH_0795,42.99,12.82,3.61,2.3,0.96,0.39,35.53
BATCH_0796,44.88,13.8,3.41,1.95,1.5,0.43,36.34
BATCH_0797,42.22,14.32,3.15,2.28,1.32,0.52,36.44
BATCH_0798,43.97,13.61,3.61,2.28,1.44,0.42,35.91
BATCH_0799,42.78,14.54,3.23,2.06,1.74,0.36,35.27
BATCH_0800,43.65,13.05,3.23,2.25,1.36,0.46,35.85
BATCH_0801,42.43,13.53,3.19,2.24,1.44,0.47,35.32
BATCH_0802,43.71,13.51,3.26,2.23,1.53,0.48,36.03
BATCH_0803,43.21,15.21,3.43,1.65,1.1,0.27,35.21
BATCH_0804,44.53,12.95,3.48,1.8,1.52,0.59,35.78
BATCH_0805,45.14,12.72,3.27,2.04,1.27,0.38,35.78
BATCH_0806,43.48,14.58,3.37,1.9,1.06,0.43,35.04
BATCH_0807,44.38,12.92,3.07,2.0,1.4,0.27,36.24
BATCH_0808,45.18,14.18,3.24,2.2,1.32,0.53,34.54
BATCH_0809,42.68,13.85,2.72,1.75,1.42,0.44,36.34
BATCH_0810,43.91,14.36,3.31,2.43,1.22,0.35,36.18
BATCH_0811,42.49,13.85,3.05,2.05,1.45,0.51,34.95
BATCH_0812,43.53,13.01,3.15,1.95,1.47,0.43,35.8
BATCH_0813,44.56,13.91,2.7,2.23,1.52,0.56,35.92
BATCH_0814,42.07,12.92,3.2,2.46,1.74,0.46,36.04
BATCH_0815,43.67,13.93,3.52,2.12,1.4,0.29,35.07
BATCH_0816,43.77,14.01,3.99,2.19,1.31,0.34,34.55
BATCH_0817,42.96,13.4,3.42,2.29,1.61,0.43,34.66
BATCH_0818,42.51,13.24,2.72,2.11,1.29,0.5,36.49
BATCH_0819,44.73,14.31,3.46,2.19,1.55,0.43,36.5
BATCH_0820,43.22,13.41,3.7,2.08,1.22,0.33,36.25
BATCH_0821,43.28,13.7,2.83,1.83,1.29,0.3,35.89
BATCH_0822,43.13,14.89,3.23,2.43,1.44,0.36,34.95
BATCH_0823,42.68,13.88,3.61,1.96,1.48,0.28,35.88
BATCH_0824,42.41,13.69,3.2,2.28,1.72,0.23,35.81
BATCH_0825,44.95,13.69,3.27,1.78,1.3,0.59,35.09
BATCH_0826,43.52,14.93,3.06,2.24,1.54,0.42,35.36
BATCH_0827,44.67,14.33,2.58,2.02,1.45,0.41,35.01
BATCH_0828,44.03,13.16,3.41,2.33,0.74,0.38,35.37
BATCH_0829,43.75,13.98,3.31,2.12,1.46,0.4,36.28
BATCH_0830,43.36,14.91,3.32,1.62,1.61,0.25,35.23
BATCH_0831,43.75,14.25,3.32,2.04,1.49,0.38,35.71
BATCH_0832,44.23,13.48,2.45,2.09,1.4,0.47,35.13
BATCH_0833,42.21,13.58,3.64,2.17,1.49,0.48,35.52
BATCH_0834,42.4,12.63,2.98,1.99,1.33,0.3,34.66
BATCH_0835,43.83,13.93,2.88,1.96,1.03,0.33,35.04
BATCH_0836,42.1,12.99,3.68,2.21,1.43,0.33,36.3
BATCH_0837,42.97,14.56,2.67,2.16,1.39,0.27,36.46
BATCH_0838,42.4,14.36,3.64,2.29,1.6,0.34,36.31
BATCH_0839,42.6,14.24,3.23,2.22,1.34,0.42,35.35
BATCH_0840,42.8,13.75,3.08,1.94,1.54,0.37,34.96
BATCH_0841,42.59,13.69,3.3,2.36,1.48,0.37,35.95
BATCH_0842,42.72,13.56,3.28,2.23,1.79,0.23,36.43
BATCH_0843,42.06,13.78,3.61,2.02,1.74,0.33,36.1
BATCH_0844,44.85,12.91,2.87,1.9,1.21,0.43,35.65
BATCH_0845,45.1,14.46,3.37,1.91,1.36,0.36,36.43
BATCH_0846,44.2,14.8,3.51,2.1,1.53,0.27,35.88
BATCH_0847,43.02,14.62,3.1,1.89,1.53,0.43,35.41
BATCH_0848,43.06,13.43,2.85,2.09,1.32,0.47,34.71
BATCH_0849,43.66,14.44,2.76,2.02,1.41,0.32,35.74
BATCH_0850,42.85,14.46,3.05,2.3,1.81,0.29,35.27
BATCH_0851,42.35,13.26,3.48,2.01,1.45,0.47,35.69
BATCH_0852,42.76,14.28,3.1,2.12,1.7,0.48,35.58
BATCH_0853,42.61,13.58,3.36,2.39,1.14,0.45,34.99
BATCH_0854,43.24,14.2,2.93,1.84,1.53,0.25,34.73
BATCH_0855,45.08,14.67,3.07,2.26,1.45,0.53,35.36
BATCH_0856,43.55,14.45,2.96,2.36,1.42,0.42,35.33
BATCH_0857,42.4,12.79,3.32,2.35,1.56,0.41,36.09
BATCH_0858,43.81,13.15,3.45,2.1,1.67,0.51,35.84
BATCH_0859,42.92,13.21,3.14,2.05,1.38,0.34,35.47
BATCH_0860,43.34,13.39,3.09,2.09,1.09,0.48,34.96
BATCH_0861,44.23,14.78,2.69,1.94,1.03,0.4,36.49
BATCH_0862,42.7,13.91,3.62,2.19,1.24,0.68,35.17
BATCH_0863,44.23,13.2,3.38,2.13,1.66,0.45,35.22
BATCH_0864,44.22,13.87,3.8,2.08,1.37,0.14,35.53
BATCH_0865,43.16,14.03,3.15,1.42,1.45,0.49,35.09
BATCH_0866,43.6,13.56,3.15,2.03,1.7,0.53,35.2
BATCH_0867,45.19,13.37,2.99,2.06,1.71,0.23,36.43
BATCH_0868,43.36,14.56,3.32,2.07,1.21,0.55,35.13
BATCH_0869,42.82,12.84,2.92,2.11,1.3,0.43,35.6
BATCH_0870,43.58,12.57,3.04,2.09,1.23,0.33,35.4
BATCH_0871,41.59,14.56,3.18,1.93,1.26,0.53,35.65
BATCH_0872,41.81,14.38,3.47,2.24,1.36,0.46,36.24
BATCH_0873,42.34,13.59,3.14,2.49,1.34,0.21,34.51
BATCH_0874,42.69,14.18,2.74,2.14,1.53,0.26,35.67
BATCH_0875,42.54,13.87,3.15,2.11,1.5,0.38,35.82
BATCH_0876,42.47,13.32,3.21,1.79,1.35,0.43,35.84
BATCH_0877,42.27,14.27,3.36,2.05,1.35,0.49,36.38
BATCH_0878,42.57,13.24,3.36,2.34,1.5,0.4,35.04
BATCH_0879,43.67,13.8,2.88,2.27,1.35,0.45,35.75
BATCH_0880,42.14,13.71,3.04,2.29,0.95,0.26,35.49
BATCH_0881,43.69,13.54,3.08,2.34,1.09,0.46,35.55
BATCH_0882,43.53,14.11,3.62,1.97,1.1,0.42,36.5
BATCH_0883,44.86,14.45,2.8,1.88,1.2,0.43,35.7
BATCH_0884,42.26,14.15,3.16,1.82,1.85,0.36,35.83
BATCH_0885,42.07,14.86,3.23,1.78,1.5,0.45,35.06
BATCH_0886,44.42,13.48,3.32,2.14,1.63,0.52,35.87
BATCH_0887,42.29,13.92,2.99,2.43,1.23,0.35,36.39
BATCH_0888,42.8,13.94,3.22,2.04,1.45,0.51,36.02
BATCH_0889,42.18,14.29,3.18,2.22,1.23,0.6,36.2
BATCH_0890,43.3,13.16,3.1,2.06,1.13,0.32,34.83
BATCH_0891,44.78,14.43,3.21,2.01,1.13,0.44,35.77
BATCH_0892,42.64,14.31,2.93,1.75,1.01,0.25,34.88
BATCH_0893,42.4,13.57,2.88,1.82,1.5,0.4,36.02
BATCH_0894,45.15,14.59,3.5,1.82,1.44,0.52,35.77
BATCH_0895,43.84,14.47,3.28,1.73,1.42,0.32,35.6
BATCH_0896,43.5,14.0,3.12,2.15,1.49,0.47,34.93
BATCH_0897,44.5,13.93,3.18,1.81,1.18,0.44,34.54
BATCH_0898,42.33,13.45,2.97,2.09,1.43,0.59,36.11
BATCH_0899,41.77,14.1,3.61,1.94,1.32,0.39,36.03
BATCH_0900,42.75,13.99,3.53,2.24,1.58,0.51,34.61
BATCH_0901,41.92,13.75,3.26,1.91,1.44,0.33,35.7
BATCH_0902,43.99,14.14,3.79,2.2,1.0,0.48,34.74
BATCH_0903,44.5,14.75,3.16,1.8,1.36,0.42,34.78
BATCH_0904,42.66,13.88,3.52,2.53,1.55,0.43,34.87
BATCH_0905,42.38,13.77,3.33,2.03,1.79,0.5,34.53
BATCH_0906,43.23,13.84,3.27,1.98,1.16,0.46,36.47
BATCH_0907,44.67,14.41,2.6,2.25,1.7,0.38,35.45
BATCH_0908,44.07,13.83,3.47,2.02,1.35,0.47,35.26
BATCH_0909,45.69,14.56,2.9,2.0,1.3,0.54,35.4
BATCH_0910,44.17,12.5,3.05,1.75,1.34,0.35,34.71
BATCH_0911,42.76,14.63,2.53,2.08,1.35,0.4,35.69
BATCH_0912,43.86,13.49,3.23,2.28,1.26,0.57,34.74
BATCH_0913,42.68,14.49,3.15,2.03,1.45,0.2,36.5
BATCH_0914,43.67,14.04,3.74,1.93,1.41,0.33,35.09
BATCH_0915,43.2,13.97,3.18,1.9,1.47,0.28,35.54
BATCH_0916,44.38,14.41,3.13,2.15,1.65,0.48,35.37
BATCH_0917,43.32,13.63,3.7,2.01,1.42,0.42,36.14
BATCH_0918,42.55,14.2,2.93,2.1,1.53,0.45,36.27
BATCH_0919,44.25,14.44,2.75,2.02,1.63,0.45,36.33
BATCH_0920,43.61,13.67,3.14,2.25,1.75,0.34,35.71
BATCH_0921,45.16,13.57,3.24,2.27,1.52,0.57,35.76
BATCH_0922,45.6,14.92,3.24,1.98,1.42,0.42,34.69
BATCH_0923,43.03,12.86,3.25,2.26,1.26,0.31,36.28
BATCH_0924,42.86,14.29,2.8,1.67,1.31,0.49,36.22
BATCH_0925,43.79,13.55,3.67,2.43,1.7,0.48,35.35
BATCH_0926,42.93,14.2,3.16,2.12,0.9,0.4,36.11
BATCH_0927,42.01,13.23,3.61,2.2,1.83,0.33,36.44
BATCH_0928,43.1,12.63,3.39,2.34,1.32,0.39,35.57
BATCH_0929,42.69,13.41,2.94,1.95,1.24,0.43,35.0
BATCH_0930,43.57,13.43,3.45,1.93,1.43,0.35,35.13
BATCH_0931,43.54,13.68,3.48,2.24,1.43,0.32,36.13
BATCH_0932,43.61,14.89,3.53,2.2,1.19,0.38,34.53
BATCH_0933,43.51,14.02,3.41,2.19,1.22,0.37,36.15
BATCH_0934,43.24,13.88,3.79,1.89,1.41,0.29,35.19
BATCH_0935,42.91,13.07,3.11,2.28,1.23,0.17,34.53
BATCH_0936,43.32,13.93,3.08,2.5,1.24,0.42,36.06
BATCH_0937,40.01,14.67,3.19,1.85,1.58,0.38,36.38
BATCH_0938,43.37,14.36,3.39,2.65,1.26,0.43,34.66
BATCH_0939,42.61,13.48,2.95,2.3,1.03,0.27,36.31
BATCH_0940,44.31,13.0,3.66,2.17,1.46,0.5,34.54
BATCH_0941,43.45,14.19,3.41,2.02,1.31,0.56,36.09
BATCH_0942,41.33,13.32,3.51,2.09,1.63,0.34,35.11
BATCH_0943,43.78,13.88,3.66,2.4,1.23,0.52,34.86
BATCH_0944,43.73,14.25,3.21,2.07,1.09,0.17,35.5
BATCH_0945,42.97,14.94,3.96,2.2,1.35,0.42,35.17
BATCH_0946,43.85,14.7,3.47,1.96,1.47,0.41,34.58
BATCH_0947,45.22,13.84,3.56,1.88,1.36,0.46,34.64
BATCH_0948,44.25,13.83,3.1,2.14,1.27,0.3,35.44
BATCH_0949,42.56,14.36,2.6,2.37,0.96,0.38,36.44
BATCH_0950,43.53,13.97,3.33,2.16,1.55,0.38,35.45
BATCH_0951,44.45,12.74,3.58,2.56,1.65,0.3,34.69
BATCH_0952,42.59,13.97,3.52,2.42,0.89,0.32,34.84
BATCH_0953,43.22,13.64,2.71,1.67,1.55,0.38,34.51
BATCH_0954,43.59,13.88,3.35,2.14,1.54,0.49,35.02
BATCH_0955,42.98,14.64,2.46,1.72,1.32,0.61,35.11
BATCH_0956,44.6,13.11,3.27,2.01,1.26,0.43,35.29
BATCH_0957,42.7,13.55,2.96,2.52,1.3,0.3,35.8
BATCH_0958,43.45,13.45,3.53,2.33,1.62,0.4,35.8
BATCH_0959,42.44,13.98,3.37,2.14,1.29,0.51,34.52
BATCH_0960,43.03,13.55,3.0,1.73,1.4,0.27,35.95
BATCH_0961,41.97,14.65,3.31,2.29,1.27,0.29,35.1
BATCH_0962,44.42,14.05,3.34,2.33,1.32,0.27,36.42
BATCH_0963,43.08,13.43,3.14,2.13,1.34,0.32,35.0
BATCH_0964,43.21,13.95,3.48,1.96,1.3,0.33,36.38
BATCH_0965,42.85,13.5,2.99,2.01,1.25,0.38,34.51
BATCH_0966,42.44,14.28,3.71,2.26,1.33,0.31,36.36
BATCH_0967,43.2,14.76,3.21,2.46,1.69,0.45,35.3
BATCH_0968,44.77,13.46,2.62,1.66,1.16,0.48,36.3
BATCH_0969,44.31,14.2,2.87,2.0,1.26,0.37,35.92
BATCH_0970,43.39,14.43,3.06,1.83,1.41,0.43,36.29
BATCH_0971,44.02,14.21,3.25,2.22,1.66,0.46,36.1
BATCH_0972,43.38,13.38,3.18,1.95,1.26,0.45,34.86
BATCH_0973,42.41,14.24,3.19,2.29,1.23,0.44,35.95
BATCH_0974,42.71,13.75,2.82,2.17,0.94,0.4,34.94
BATCH_0975,44.01,13.78,2.97,2.08,1.33,0.45,34.86
BATCH_0976,43.73,13.35,3.51,2.56,1.24,0.28,36.1
BATCH_0977,42.76,13.64,2.92,1.87,1.41,0.41,35.78
BATCH_0978,41.6,14.09,2.81,2.45,1.49,0.32,35.81
BATCH_0979,42.59,13.81,3.47,2.13,1.53,0.47,35.59
BATCH_0980,43.25,13.65,3.37,1.93,1.43,0.28,34.53
BATCH_0981,42.6,12.87,3.12,1.57,1.36,0.28,36.07
BATCH_0982,44.75,14.18,4.05,2.01,1.26,0.39,36.32
BATCH_0983,42.78,13.69,3.26,2.11,1.43,0.41,34.77
BATCH_0984,42.51,14.67,3.1,2.2,1.82,0.33,34.63
BATCH_0985,42.79,12.78,3.6,1.94,1.65,0.47,35.07
BATCH_0986,43.09,13.53,2.76,2.1,1.41,0.27,35.23
BATCH_0987,42.51,13.34,3.47,2.17,1.17,0.54,34.5
BATCH_0988,43.88,13.68,3.59,1.86,1.38,0.44,35.25
BATCH_0989,43.19,13.27,3.32,1.69,1.19,0.53,35.74
BATCH_0990,42.45,13.97,3.45,2.08,1.36,0.26,35.36
BATCH_0991,43.76,13.84,3.23,2.09,1.08,0.43,35.42
BATCH_0992,45.29,13.15,3.59,2.11,1.28,0.27,34.86
BATCH_0993,44.17,13.76,2.86,1.96,1.26,0.4,35.07
BATCH_0994,43.34,13.79,4.08,1.97,1.26,0.47,35.06
BATCH_0995,42.26,12.89,3.41,2.25,1.32,0.53,36.29
BATCH_0996,42.86,13.7,2.96,1.92,1.56,0.29,34.59
BATCH_0997,44.87,14.14,3.39,2.0,1.21,0.48,35.41
BATCH_0998,42.38,12.87,3.44,1.77,1.64,0.31,35.75
BATCH_0999,43.66,14.0,3.35,2.22,1.63,0.48,35.26
BATCH_1000,43.5,14.0,2.85,1.89,1.59,0.34,34.66
BATCH_1001,42.44,13.7,2.97,1.82,1.48,0.45,34.77
BATCH_1002,41.7,14.61,3.12,2.36,1.15,0.51,34.75
BATCH_1003,42.1,13.32,3.25,1.84,1.1,0.43,35.65
BATCH_1004,43.17,13.75,2.64,2.4,1.2,0.3,36.06
BATCH_1005,43.68,13.16,3.86,1.94,1.32,0.25,35.72
BATCH_1006,44.19,14.0,3.14,1.98,1.56,0.53,36.48
BATCH_1007,42.59,13.77,3.79,1.86,1.02,0.35,35.87
BATCH_1008,43.98,12.37,3.13,1.88,1.43,0.36,35.74
BATCH_1009,43.28,12.62,3.22,2.23,1.43,0.36,34.82
BATCH_1010,42.55,13.78,3.0,2.14,1.29,0.33,34.68
BATCH_1011,43.29,14.76,3.16,2.15,1.52,0.26,36.04
BATCH_1012,43.32,14.12,3.5,1.82,1.66,0.57,35.62
BATCH_1013,44.46,14.08,3.62,2.44,1.38,0.49,35.64
BATCH_1014,43.03,14.1,2.94,2.12,1.43,0.42,34.7
BATCH_1015,42.49,15.03,3.14,1.96,1.57,0.45,35.19
BATCH_1016,43.27,13.33,3.51,2.13,1.21,0.48,35.62
BATCH_1017,42.8,13.06,3.29,2.08,1.27,0.61,34.84
BATCH_1018,43.63,14.46,3.0,2.15,1.02,0.47,36.3
BATCH_1019,42.96,14.78,3.05,1.96,1.28,0.38,35.37
BATCH_1020,44.18,13.24,2.84,2.64,1.61,0.46,35.51
BATCH_1021,44.37,13.0,3.37,2.5,1.17,0.38,35.27
BATCH_1022,42.91,12.88,3.62,2.37,1.27,0.49,35.84
BATCH_1023,43.89,14.12,3.37,1.86,1.63,0.43,36.19
BATCH_1024,43.69,13.91,3.37,2.27,1.25,0.43,36.06
BATCH_1025,43.79,13.86,3.25,2.08,1.53,0.48,35.52
BATCH_1026,45.37,13.27,3.17,1.99,1.5,0.35,34.69
BATCH_1027,44.28,14.39,2.76,2.34,0.93,0.46,34.52
BATCH_1028,42.52,13.01,3.34,2.03,1.51,0.33,34.96
BATCH_1029,43.12,12.9,3.53,2.0,1.19,0.47,35.48
BATCH_1030,44.72,13.2,2.8,2.29,1.28,0.4,36.09
BATCH_1031,45.06,13.19,3.11,2.24,1.4,0.34,35.3
BATCH_1032,43.76,13.31,3.71,2.1,1.18,0.4,36.08
BATCH_1033,44.51,14.6,2.83,2.17,1.39,0.38,35.56
BATCH_1034,43.07,12.99,3.4,1.79,1.6,0.36,35.5
BATCH_1035,43.4,13.21,3.22,2.17,1.38,0.46,34.69
BATCH_1036,42.78,14.2,3.02,1.9,1.63,0.38,35.98
BATCH_1037,43.9,14.52,3.68,1.99,1.56,0.54,36.07
BATCH_1038,40.96,13.45,3.46,2.19,1.28,0.4,35.08
BATCH_1039,43.81,14.56,3.23,2.19,1.22,0.25,34.58
BATCH_1040,42.12,13.83,3.22,2.07,1.34,0.57,35.87
BATCH_1041,43.83,13.28,3.75,2.05,1.59,0.38,35.0
BATCH_1042,40.96,13.4,2.97,2.04,1.03,0.44,35.05
BATCH_1043,43.56,14.69,3.11,2.21,1.51,0.36,35.82
BATCH_1044,43.24,13.22,3.67,2.2,1.25,0.3,35.77
BATCH_1045,44.24,13.38,3.13,2.03,1.72,0.47,34.76
BATCH_1046,42.41,13.97,3.18,2.49,1.58,0.43,34.97
BATCH_1047,41.9,13.36,3.37,2.26,1.38,0.41,35.03
BATCH_1048,44.1,13.73,3.67,1.9,1.25,0.32,35.76
BATCH_1049,44.17,13.6,3.22,2.26,1.64,0.31,35.96
BATCH_1050,43.37,13.94,2.99,2.49,1.27,0.23,35.56
BATCH_1051,43.75,15.24,2.7,1.9,1.51,0.62,35.89
BATCH_1052,42.75,14.5,3.59,1.82,1.6,0.48,34.89
BATCH_1053,43.41,14.28,3.13,2.15,1.44,0.48,35.5
BATCH_1054,44.12,13.84,3.15,2.25,1.29,0.37,36.16
BATCH_1055,42.69,13.42,3.21,1.99,1.64,0.41,34.51
BATCH_1056,42.39,14.25,2.84,1.93,1.38,0.34,36.15
BATCH_1057,43.96,13.89,3.38,1.9,1.33,0.39,35.21
BATCH_1058,43.85,13.0,3.58,2.24,1.38,0.2,35.78
BATCH_1059,45.26,13.81,2.91,2.16,1.71,0.32,36.39
BATCH_1060,44.14,14.16,3.24,1.99,1.03,0.42,36.36
BATCH_1061,42.41,14.32,4.09,2.2,1.33,0.2,35.2
BATCH_1062,44.31,13.06,2.75,2.57,1.36,0.43,34.92
BATCH_1063,42.78,13.63,2.97,2.1,1.34,0.25,34.75
BATCH_1064,43.78,13.9,3.59,2.03,1.62,0.36,35.93
BATCH_1065,41.47,14.16,3.15,1.8,1.18,0.56,34.7
BATCH_1066,41.86,13.41,2.6,2.41,1.35,0.62,34.87
BATCH_1067,44.18,14.42,2.83,1.98,1.37,0.48,34.62
BATCH_1068,42.89,13.76,2.4,1.88,1.24,0.49,35.74
BATCH_1069,41.75,14.02,3.41,2.26,1.34,0.28,35.31
BATCH_1070,42.98,13.7,3.28,1.98,0.82,0.52,34.5
BATCH_1071,43.65,13.75,3.37,1.77,1.62,0.32,35.8
BATCH_1072,43.47,13.67,3.29,1.92,1.5,0.27,35.29
BATCH_1073,42.59,13.31,3.24,2.14,1.08,0.43,34.81
BATCH_1074,44.43,13.34,3.7,2.32,1.27,0.29,35.39
BATCH_1075,44.12,13.85,2.85,2.07,1.3,0.48,35.95
BATCH_1076,44.75,13.64,3.25,2.35,0.93,0.35,34.75
BATCH_1077,42.84,12.81,3.2,2.55,1.45,0.38,36.13
BATCH_1078,42.55,11.88,3.05,2.11,1.37,0.6,35.45
BATCH_1079,43.69,13.8,2.66,2.11,1.52,0.3,36.21
BATCH_1080,42.94,13.63,3.45,2.05,1.32,0.27,34.68
BATCH_1081,44.14,13.01,3.31,1.89,1.63,0.24,35.02
BATCH_1082,42.75,14.41,2.72,1.86,1.43,0.39,35.39
BATCH_1083,41.13,13.78,2.83,2.35,1.66,0.32,36.23
BATCH_1084,42.09,13.27,3.1,2.31,1.25,0.45,36.26
BATCH_1085,42.93,13.18,3.74,2.01,1.58,0.35,36.36
BATCH_1086,41.11,14.26,3.01,2.01,1.5,0.35,35.38
BATCH_1087,43.13,13.35,2.82,2.3,1.25,0.36,35.82
BATCH_1088,41.86,13.8,2.89,2.18,1.5,0.28,36.06
BATCH_1089,42.34,13.61,3.65,2.24,1.07,0.39,34.94
BATCH_1090,42.75,13.19,2.86,1.93,1.44,0.19,35.67
BATCH_1091,43.2,13.87,3.11,2.38,1.16,0.36,35.69
BATCH_1092,44.23,13.62,3.25,1.87,1.18,0.47,36.06
BATCH_1093,43.13,13.27,3.06,2.2,1.35,0.34,35.55
BATCH_1094,42.05,13.97,2.95,1.96,1.36,0.34,35.36
BATCH_1095,44.47,13.37,3.15,2.23,1.46,0.46,36.45
BATCH_1096,43.99,13.54,2.53,2.09,1.18,0.41,34.96
BATCH_1097,43.34,13.46,3.02,2.32,1.64,0.36,34.84
BATCH_1098,42.8,13.63,3.33,1.71,1.39,0.43,34.69
BATCH_1099,42.72,12.76,3.0,2.05,1.3,0.35,36.35
BATCH_1100,41.83,14.05,3.18,2.35,1.63,0.46,35.05
BATCH_1101,45.17,13.23,3.07,2.19,1.6,0.47,35.77
BATCH_1102,43.48,14.22,3.05,2.13,1.45,0.53,34.69
BATCH_1103,43.5,12.92,3.62,2.0,1.33,0.49,36.45
BATCH_1104,42.57,14.13,3.15,2.23,0.89,0.32,36.41
BATCH_1105,43.42,13.44,2.44,1.85,1.29,0.37,35.65
BATCH_1106,42.99,14.45,3.52,1.77,1.26,0.33,35.07
BATCH_1107,42.6,13.31,3.05,2.0,1.42,0.34,36.31
BATCH_1108,42.81,14.14,3.48,1.99,1.35,0.34,36.15
BATCH_1109,42.96,14.5,3.45,2.34,1.27,0.29,35.36
BATCH_1110,42.84,13.84,2.94,2.05,1.41,0.39,35.79
BATCH_1111,42.95,13.52,3.56,2.18,1.89,0.45,35.32
BATCH_1112,43.49,13.16,3.15,2.1,1.39,0.41,35.18
BATCH_1113,42.62,13.98,3.36,1.81,1.19,0.17,35.49
BATCH_1114,43.26,12.23,2.76,2.13,1.65,0.26,35.96
BATCH_1115,43.93,13.9,3.06,2.08,1.73,0.38,35.71
BATCH_1116,43.06,13.89,3.1,2.38,1.19,0.55,36.04
BATCH_1117,43.43,14.02,3.54,1.95,1.74,0.37,34.56
BATCH_1118,42.23,13.96,3.47,1.81,1.9,0.52,35.42
BATCH_1119,43.52,13.21,3.34,2.13,1.43,0.44,34.55
BATCH_1120,42.35,14.1,3.51,2.27,1.35,0.44,36.28
BATCH_1121,41.69,14.11,3.58,2.35,1.26,0.17,34.69
BATCH_1122,40.7,14.88,3.41,1.95,1.39,0.29,36.37
BATCH_1123,43.6,14.53,3.26,2.11,1.1,0.55,35.59
BATCH_1124,42.23,14.71,3.58,2.22,1.27,0.53,34.98
BATCH_1125,44.3,15.19,3.09,2.28,1.77,0.26,34.82
BATCH_1126,42.8,13.42,2.91,2.08,1.51,0.45,35.65
BATCH_1127,43.97,13.81,3.58,2.22,1.18,0.36,35.06
BATCH_1128,43.75,14.52,3.55,1.85,1.5,0.54,35.21
BATCH_1129,44.7,14.48,2.92,2.17,1.52,0.27,35.79
BATCH_1130,42.57,14.12,3.07,1.79,1.58,0.22,34.96
BATCH_1131,42.65,13.31,3.22,1.72,1.34,0.3,36.14
BATCH_1132,43.48,13.57,3.03,2.01,1.26,0.42,35.0
BATCH_1133,43.01,13.96,3.57,1.96,1.48,0.27,35.16
BATCH_1134,43.84,14.05,3.15,2.11,1.49,0.47,34.56
BATCH_1135,42.33,14.14,3.16,1.71,1.54,0.42,36.35
BATCH_1136,41.9,13.62,2.92,1.96,1.8,0.44,35.48
BATCH_1137,42.37,12.38,2.94,2.38,1.03,0.44,35.43
BATCH_1138,45.03,13.02,3.22,1.74,1.31,0.43,34.56
BATCH_1139,43.48,14.29,3.3,2.68,1.65,0.47,34.96
BATCH_1140,45.01,14.56,3.26,2.2,1.48,0.54,35.46
BATCH_1141,43.93,13.99,3.82,2.28,1.03,0.54,36.41
BATCH_1142,43.92,14.47,3.19,2.12,1.41,0.32,35.51
BATCH_1143,43.32,13.62,3.11,2.1,1.54,0.42,35.31
BATCH_1144,43.2,12.9,2.91,2.17,1.29,0.38,36.43
BATCH_1145,42.73,13.94,3.02,2.0,1.42,0.35,34.56
BATCH_1146,42.74,14.61,3.22,2.37,1.44,0.32,35.31
BATCH_1147,43.15,14.67,3.58,1.89,1.4,0.21,35.12
BATCH_1148,44.52,14.27,2.89,1.99,1.45,0.23,36.34
BATCH_1149,42.35,14.39,2.88,2.15,1.31,0.39,35.74
BATCH_1150,44.13,13.68,2.93,1.79,1.21,0.23,34.98
BATCH_1151,44.55,13.87,2.51,2.17,1.01,0.45,35.72
BATCH_1152,43.59,14.13,3.47,2.17,1.43,0.59,35.17
BATCH_1153,42.84,14.29,3.12,1.98,1.59,0.53,35.22
BATCH_1154,44.22,12.91,3.27,2.39,1.67,0.44,34.58
BATCH_1155,43.39,12.32,3.23,1.91,1.31,0.52,34.53
BATCH_1156,41.48,13.32,3.34,1.84,1.37,0.44,35.75
BATCH_1157,43.88,13.36,3.29,2.0,0.88,0.51,35.93
BATCH_1158,42.86,13.82,3.27,2.16,1.63,0.29,34.94
BATCH_1159,44.72,14.13,3.15,2.35,1.23,0.51,35.05
