Batch_ID,Clinker_CaO,Clinker_SiO2,Clinker_Al2O3,Clinker_Fe2O3,LSF,SM,AM,Free_CaO_pct,C3S_pct,C2S_pct,C3A_pct,C4AF_pct
BATCH_0472,66.98,20.02,4.73,3.04,1.0512,2.5776,1.5591,1.184,77.38,5.0,7.41,9.24
BATCH_0473,66.72,20.04,4.62,3.85,1.0398,2.366,1.2007,0.771,77.86,5.0,5.74,11.71
BATCH_0474,68.47,21.48,4.14,3.16,1.0195,2.9407,1.3087,0.534,79.39,5.0,5.62,9.63
BATCH_0475,67.14,20.85,4.45,2.92,1.0232,2.8269,1.5251,0.415,78.02,5.0,6.86,8.89
BATCH_0476,66.29,20.8,4.9,3.37,0.9996,2.5159,1.4529,0.725,69.12,7.49,7.27,10.26
BATCH_0477,67.69,20.73,3.51,3.51,1.049,2.9559,0.9995,1.299,81.8,5.0,3.36,10.67
BATCH_0478,65.93,22.15,4.38,3.11,0.9513,2.9573,1.4055,0.487,62.57,16.31,6.33,9.48
BATCH_0479,65.64,20.94,4.74,3.78,0.9829,2.4575,1.2521,0.456,67.48,9.13,6.15,11.51
BATCH_0480,66.91,21.48,5.5,3.75,0.9673,2.3226,1.4684,0.616,62.23,14.63,8.24,11.4
BATCH_0481,65.67,21.16,4.62,3.21,0.9817,2.7016,1.4389,0.988,65.44,11.31,6.81,9.77
BATCH_0482,67.2,21.85,5.0,3.69,0.9659,2.5159,1.3547,0.543,64.7,13.83,7.0,11.22
BATCH_0483,66.24,21.05,4.81,2.94,0.9941,2.7177,1.6389,1.018,67.37,9.53,7.78,8.93
BATCH_0484,68.75,21.06,4.25,3.74,1.0339,2.6349,1.1346,1.146,78.8,5.0,4.92,11.39
BATCH_0485,63.97,20.49,5.05,3.44,0.9743,2.4134,1.4685,0.953,61.15,12.61,7.56,10.46
BATCH_0486,69.88,22.03,5.89,3.46,0.9844,2.3568,1.7004,1.192,66.09,13.3,9.74,10.53
BATCH_0487,67.47,21.74,5.35,3.72,0.968,2.3963,1.4405,0.867,62.83,14.92,7.9,11.31
BATCH_0488,66.51,20.91,4.71,3.38,1.0016,2.5843,1.3947,0.918,69.75,7.34,6.77,10.28
BATCH_0489,66.52,22.03,5.28,3.13,0.9492,2.6181,1.6863,0.877,57.38,19.89,8.7,9.53
BATCH_0490,67.72,21.65,4.23,3.43,0.9971,2.8281,1.2336,0.478,73.4,6.69,5.4,10.43
BATCH_0491,66.12,20.55,4.82,3.22,1.0107,2.5568,1.4974,1.151,69.07,6.81,7.33,9.79
BATCH_0492,64.76,20.7,5.02,3.15,0.9806,2.5339,1.5933,0.982,62.99,11.84,7.97,9.59
BATCH_0493,68.56,21.6,4.86,3.31,1.0012,2.643,1.4697,1.199,71.76,7.8,7.29,10.07
BATCH_0494,67.08,20.89,4.56,2.91,1.0186,2.7981,1.5681,1.589,71.41,6.02,7.16,8.85
BATCH_0495,66.0,20.43,4.15,3.1,1.0281,2.8214,1.3395,1.18,74.99,5.0,5.75,9.42
BATCH_0496,66.19,20.82,5.04,2.94,0.999,2.6089,1.7161,0.687,68.2,8.25,8.39,8.94
BATCH_0497,64.88,21.15,4.37,3.11,0.9758,2.8262,1.4062,1.094,64.0,12.36,6.33,9.46
BATCH_0498,66.78,22.41,5.25,3.23,0.9387,2.6449,1.6256,0.951,56.13,21.9,8.44,9.82
BATCH_0499,68.31,23.11,5.06,2.97,0.9397,2.8772,1.7047,0.337,61.35,19.96,8.39,9.04
BATCH_0500,65.58,21.51,4.54,2.91,0.9703,2.8851,1.5606,0.623,63.94,13.45,7.12,8.86
BATCH_0501,63.85,20.8,4.4,3.42,0.9711,2.6582,1.2851,0.786,62.23,12.69,5.87,10.42
BATCH_0502,66.75,20.5,5.21,3.12,1.0165,2.4608,1.6679,0.735,72.16,5.0,8.52,9.5
BATCH_0503,68.53,21.31,4.84,3.12,1.0151,2.6744,1.5509,1.08,73.75,5.45,7.55,9.5
BATCH_0504,68.15,19.54,4.53,3.05,1.0968,2.5774,1.4878,1.304,86.74,5.0,6.86,9.27
BATCH_0505,69.01,21.39,4.84,3.46,1.0156,2.5778,1.4009,1.261,73.9,5.58,6.98,10.52
BATCH_0506,67.02,22.76,4.99,3.56,0.9304,2.6609,1.4017,1.217,54.7,23.99,7.2,10.84
BATCH_0507,68.15,20.02,5.3,3.49,1.0536,2.2781,1.5189,1.522,76.73,5.0,8.14,10.62
BATCH_0508,68.16,21.11,5.04,2.83,1.0175,2.6802,1.782,1.39,71.19,6.81,8.58,8.61
BATCH_0509,66.07,23.17,4.7,3.58,0.9069,2.7989,1.3114,0.615,51.61,27.5,6.39,10.9
BATCH_0510,67.38,21.43,5.21,3.18,0.9861,2.5534,1.6386,1.128,64.62,12.69,8.43,9.68
BATCH_0511,66.64,21.44,4.75,2.77,0.987,2.8508,1.7161,0.725,67.81,10.3,7.91,8.42
BATCH_0512,64.61,22.31,5.41,3.18,0.9095,2.5959,1.6995,0.65,47.6,28.06,8.95,9.69
BATCH_0513,69.76,20.09,4.18,3.5,1.0978,2.6166,1.1918,1.207,91.65,5.0,5.14,10.66
BATCH_0514,66.77,23.65,5.98,3.27,0.8842,2.5543,1.8271,0.414,44.06,34.56,10.31,9.96
BATCH_0515,66.51,22.04,4.88,3.18,0.9552,2.7316,1.5328,0.657,61.46,16.81,7.55,9.69
BATCH_0516,66.55,20.96,4.51,3.33,1.0045,2.6733,1.3569,1.017,70.52,6.88,6.33,10.12
BATCH_0517,66.87,21.36,4.99,3.21,0.9853,2.6039,1.5515,1.116,65.53,11.79,7.78,9.78
BATCH_0518,67.32,21.25,5.18,2.98,0.995,2.6041,1.735,0.813,68.01,9.63,8.67,9.08
BATCH_0519,68.21,20.43,4.95,3.39,1.0437,2.449,1.4575,1.082,78.12,5.0,7.37,10.33
BATCH_0520,64.59,21.46,5.2,3.44,0.9423,2.4836,1.5119,0.965,54.87,20.12,7.96,10.47
BATCH_0521,67.38,21.08,5.05,3.8,0.9975,2.3811,1.3273,1.278,67.5,9.5,6.94,11.57
BATCH_0522,67.11,22.65,4.5,3.4,0.9448,2.8704,1.3245,1.095,59.64,19.95,6.17,10.33
BATCH_0523,68.98,20.82,4.84,3.61,1.0382,2.4661,1.341,1.226,77.93,5.0,6.71,10.97
BATCH_0524,66.12,21.07,4.39,3.55,0.9932,2.6567,1.2375,0.698,69.72,7.82,5.63,10.79
BATCH_0525,69.27,22.18,4.42,3.58,0.9934,2.7718,1.2375,1.072,72.98,8.52,5.68,10.88
BATCH_0526,65.19,20.85,5.17,3.86,0.9717,2.3086,1.3409,0.605,62.24,12.81,7.18,11.74
BATCH_0527,66.86,21.61,4.69,3.29,0.9794,2.7072,1.4225,0.748,66.52,11.77,6.84,10.03
BATCH_0528,66.93,21.34,4.93,3.04,0.9894,2.6786,1.6248,0.541,68.95,9.17,7.93,9.24
BATCH_0529,69.76,22.06,5.4,2.94,0.9944,2.6456,1.8375,0.877,70.14,10.33,9.34,8.94
BATCH_0530,67.11,21.64,4.58,2.96,0.9869,2.8722,1.5477,0.438,70.56,8.8,7.12,9.0
BATCH_0531,68.55,21.0,5.98,2.93,1.0101,2.3566,2.0384,1.087,68.74,8.34,10.88,8.92
BATCH_0532,66.79,21.54,5.03,3.05,0.9773,2.6663,1.6471,0.818,64.6,13.04,8.16,9.29
BATCH_0533,65.97,20.54,4.11,3.13,1.0231,2.8387,1.315,1.296,73.71,5.0,5.6,9.51
BATCH_0534,65.34,21.24,5.45,2.98,0.9617,2.5189,1.8292,0.862,58.8,16.53,9.4,9.07
BATCH_0535,67.32,23.08,5.25,3.53,0.9196,2.6293,1.4897,0.539,54.25,25.23,7.95,10.73
BATCH_0536,67.15,23.01,4.97,3.16,0.9271,2.8319,1.5739,1.032,54.63,24.75,7.82,9.6
BATCH_0537,64.31,21.06,5.27,3.28,0.9537,2.464,1.6065,1.239,54.33,19.41,8.41,9.98
BATCH_0538,68.98,21.33,4.7,2.95,1.0251,2.7855,1.5936,0.506,79.49,5.0,7.47,8.98
BATCH_0539,65.18,21.08,4.98,3.28,0.9708,2.554,1.5194,0.3,64.07,12.12,7.65,9.97
BATCH_0540,65.91,21.44,4.82,3.29,0.9701,2.6436,1.4664,0.649,63.72,13.39,7.21,10.0
BATCH_0541,67.14,21.31,5.19,3.01,0.9894,2.6017,1.7258,0.513,68.45,9.47,8.66,9.15
BATCH_0542,65.49,21.3,4.16,3.14,0.9821,2.916,1.326,0.514,68.75,9.21,5.72,9.56
BATCH_0543,67.76,19.11,4.66,3.62,1.1027,2.3103,1.288,1.206,88.02,5.0,6.22,11.0
BATCH_0544,65.17,20.38,5.07,3.91,0.9921,2.2698,1.2959,0.845,65.69,8.87,6.81,11.9
BATCH_0545,64.56,21.73,4.77,3.35,0.9393,2.6753,1.4223,0.3,57.86,18.64,6.96,10.2
BATCH_0546,68.41,22.14,4.63,3.27,0.9818,2.8045,1.4174,0.316,71.75,9.36,6.74,9.94
BATCH_0547,67.55,22.43,4.84,2.83,0.9589,2.9243,1.7071,0.526,63.41,16.46,8.02,8.62
BATCH_0548,66.06,21.9,5.16,3.16,0.9494,2.6325,1.6326,0.718,58.42,18.73,8.33,9.62
BATCH_0549,64.41,22.66,5.04,3.4,0.8983,2.6825,1.4826,0.353,47.18,29.36,7.61,10.35
BATCH_0550,69.92,20.59,5.09,2.87,1.0654,2.5838,1.773,1.314,82.53,5.0,8.64,8.74
BATCH_0551,66.54,23.26,4.91,3.39,0.9089,2.8035,1.4496,0.553,52.23,27.27,7.28,10.31
BATCH_0552,66.05,19.45,4.64,2.94,1.0666,2.5655,1.5761,0.937,80.47,5.0,7.31,8.95
BATCH_0553,68.79,20.64,4.59,3.34,1.0508,2.6027,1.3726,0.846,82.11,5.0,6.5,10.17
BATCH_0554,67.28,21.43,6.1,3.58,0.9658,2.2135,1.7051,1.157,58.36,17.42,10.12,10.89
BATCH_0555,65.14,20.94,4.58,3.26,0.9834,2.6701,1.4039,1.541,63.19,12.35,6.62,9.93
BATCH_0556,69.35,22.05,5.03,3.29,0.9918,2.6481,1.5277,0.922,70.44,10.08,7.76,10.02
BATCH_0557,65.97,21.64,5.52,3.17,0.9523,2.4897,1.7439,1.387,54.65,20.81,9.28,9.64
BATCH_0558,65.52,22.37,5.5,3.53,0.916,2.4748,1.5578,0.735,49.93,26.46,8.61,10.75
BATCH_0559,64.85,20.75,5.06,2.77,0.9831,2.6486,1.8239,1.035,62.82,12.09,8.71,8.44
BATCH_0560,67.58,20.32,4.51,3.25,1.0491,2.6183,1.3863,1.31,79.29,5.0,6.44,9.9
BATCH_0561,66.47,19.37,4.8,3.55,1.0667,2.32,1.3528,1.036,79.87,5.0,6.72,10.8
BATCH_0562,66.61,21.81,5.13,3.54,0.958,2.5182,1.4497,0.605,61.33,16.27,7.6,10.76
BATCH_0563,64.92,23.11,5.3,3.25,0.8871,2.7002,1.6295,0.3,45.29,32.08,8.55,9.9
BATCH_0564,66.26,24.29,4.79,2.6,0.878,3.2866,1.8436,0.506,45.9,35.02,8.3,7.91
BATCH_0565,66.93,22.7,4.67,3.56,0.9362,2.758,1.3111,0.836,58.4,21.03,6.35,10.84
BATCH_0566,68.04,21.32,5.6,2.69,0.9981,2.5709,2.0815,1.062,67.16,10.46,10.29,8.19
BATCH_0567,64.23,21.69,4.75,2.59,0.9429,2.9568,1.8314,0.797,55.25,20.51,8.19,7.88
BATCH_0568,65.68,22.71,5.62,2.98,0.9089,2.6424,1.8881,0.542,49.33,27.9,9.85,9.06
BATCH_0569,65.64,19.79,4.68,3.12,1.0411,2.5371,1.5006,0.611,76.2,5.0,7.13,9.49
BATCH_0570,68.05,21.18,5.25,2.9,1.0082,2.5986,1.807,0.656,71.27,6.97,8.99,8.84
BATCH_0571,64.22,22.63,4.29,3.15,0.9103,3.0403,1.3641,0.821,51.07,26.34,6.05,9.58
BATCH_0572,66.92,20.19,3.93,2.94,1.0598,2.9409,1.3377,1.162,81.77,5.0,5.44,8.94
BATCH_0573,66.29,21.67,4.82,3.24,0.9669,2.6896,1.4867,0.3,65.42,12.77,7.28,9.86
BATCH_0574,63.13,23.0,5.36,3.9,0.8605,2.4828,1.3747,0.503,36.1,38.7,7.61,11.87
BATCH_0575,66.79,23.28,4.91,3.59,0.9097,2.741,1.3672,0.911,51.5,27.9,6.93,10.92
BATCH_0576,66.72,21.23,5.34,3.02,0.984,2.5383,1.768,1.092,63.91,12.64,9.04,9.19
BATCH_0577,67.13,20.48,4.78,3.67,1.0254,2.4266,1.3029,1.073,74.36,5.0,6.45,11.15
BATCH_0578,64.61,20.17,4.54,3.41,1.0075,2.539,1.3304,0.864,69.24,5.59,6.25,10.37
BATCH_0579,65.99,21.71,4.79,3.23,0.9615,2.7068,1.4819,0.805,61.83,15.6,7.22,9.83
BATCH_0580,68.05,22.36,4.35,2.99,0.9755,3.048,1.4553,0.744,69.16,11.92,6.47,9.09
BATCH_0581,67.22,20.68,4.57,2.97,1.0292,2.7446,1.5407,0.99,75.85,5.0,7.09,9.02
BATCH_0582,66.06,20.63,4.43,3.13,1.0144,2.7318,1.4161,0.396,75.13,5.0,6.44,9.51
BATCH_0583,66.58,21.2,4.78,3.06,0.9926,2.7057,1.5624,1.248,66.18,10.85,7.49,9.3
BATCH_0584,67.75,21.56,4.62,3.19,0.9965,2.7601,1.4489,0.801,71.22,8.09,6.85,9.71
BATCH_0585,66.67,21.95,5.3,3.74,0.9492,2.4285,1.4183,0.886,58.56,18.74,7.72,11.37
BATCH_0586,68.37,22.31,4.95,3.52,0.9668,2.6321,1.4056,1.17,64.07,15.64,7.16,10.72
BATCH_0587,65.58,20.92,4.6,2.99,0.993,2.7551,1.5366,0.734,69.15,7.81,7.12,9.11
BATCH_0588,66.96,22.2,4.24,3.61,0.9621,2.8301,1.1747,0.649,66.23,13.69,5.13,10.98
BATCH_0589,66.45,20.49,5.57,3.19,1.0049,2.3375,1.745,1.349,65.25,9.51,9.36,9.72
BATCH_0590,68.43,20.99,4.8,3.38,1.0254,2.5661,1.42,0.847,76.56,5.0,7.0,10.29
BATCH_0591,66.37,22.33,4.76,3.6,0.9406,2.6717,1.3211,0.3,60.19,18.6,6.51,10.96
BATCH_0592,67.84,20.93,4.88,2.85,1.023,2.7088,1.7151,0.963,74.11,5.0,8.12,8.66
BATCH_0593,66.12,22.48,5.46,3.06,0.925,2.6383,1.7854,0.321,54.99,22.96,9.3,9.31
BATCH_0594,68.33,22.13,4.62,3.35,0.9805,2.7787,1.3797,0.846,68.53,11.75,6.57,10.19
BATCH_0595,68.65,18.53,5.63,3.63,1.1252,2.0013,1.5482,1.036,89.81,5.0,8.76,11.06
BATCH_0596,67.99,21.01,4.74,2.93,1.0234,2.7395,1.6177,0.428,77.27,5.0,7.6,8.92
BATCH_0597,64.94,22.98,4.92,3.01,0.8994,2.8957,1.6335,1.485,44.16,32.56,7.95,9.17
BATCH_0598,68.15,18.81,6.22,3.72,1.0893,1.8924,1.6724,1.062,81.25,5.0,10.19,11.32
BATCH_0599,66.88,23.01,4.97,3.65,0.9193,2.6701,1.3635,1.027,52.67,26.23,7.0,11.09
BATCH_0600,65.91,20.77,4.92,2.82,1.0004,2.6846,1.7441,1.125,66.48,9.4,8.26,8.58
BATCH_0601,65.36,21.39,4.86,2.81,0.9675,2.787,1.729,0.864,61.39,15.01,8.13,8.56
BATCH_0602,64.67,20.3,4.6,3.12,1.0043,2.6309,1.475,0.683,69.26,5.96,6.91,9.49
BATCH_0603,65.51,21.0,5.07,3.22,0.9781,2.5352,1.5735,0.977,62.86,12.79,7.98,9.8
BATCH_0604,67.53,22.14,4.62,3.13,0.9706,2.8586,1.4743,0.795,65.96,13.72,6.93,9.53
BATCH_0605,67.72,21.51,5.7,2.59,0.985,2.5925,2.1987,0.604,65.47,12.28,10.72,7.89
BATCH_0606,64.85,21.18,4.79,3.41,0.9639,2.5847,1.4046,1.246,58.4,16.67,6.92,10.37
BATCH_0607,67.64,20.45,4.98,3.39,1.0335,2.4429,1.4706,0.555,77.79,5.0,7.47,10.31
BATCH_0608,65.86,20.77,5.02,3.01,0.9959,2.5866,1.6684,0.956,66.69,9.23,8.21,9.16
BATCH_0609,66.77,21.59,5.47,3.26,0.9659,2.473,1.6815,0.432,62.89,14.45,9.0,9.91
BATCH_0610,67.53,22.02,4.0,3.28,0.9844,3.0226,1.219,0.984,70.71,9.79,5.05,9.99
BATCH_0611,64.92,21.63,4.64,2.73,0.9558,2.934,1.6983,0.756,60.91,16.08,7.67,8.32
BATCH_0612,65.7,21.21,5.48,3.17,0.9659,2.4507,1.7282,0.777,60.1,15.46,9.16,9.65
BATCH_0613,68.87,20.99,5.12,2.87,1.0313,2.6272,1.783,1.593,74.29,5.0,8.71,8.74
BATCH_0614,69.36,22.62,5.49,3.32,0.9622,2.5682,1.6531,1.088,63.24,17.15,8.93,10.1
BATCH_0615,66.88,22.19,5.42,3.8,0.9406,2.4072,1.427,0.469,58.45,19.52,7.94,11.56
BATCH_0616,67.39,20.04,5.64,2.97,1.0395,2.3277,1.903,0.71,75.21,5.0,9.94,9.03
BATCH_0617,66.23,21.84,4.72,3.7,0.9569,2.5928,1.2772,0.757,61.31,16.35,6.26,11.25
BATCH_0618,67.52,20.24,6.02,3.64,1.0188,2.0934,1.6531,1.545,66.92,7.55,9.8,11.09
BATCH_0619,67.1,21.13,5.06,3.58,0.9932,2.4456,1.4105,1.3,66.43,10.47,7.33,10.91
BATCH_0620,66.97,21.13,6.22,3.88,0.9683,2.0929,1.6058,0.312,61.74,14.02,9.93,11.79
BATCH_0621,66.43,22.47,5.01,3.18,0.9358,2.7463,1.5765,0.799,55.51,22.54,7.89,9.66
BATCH_0622,68.47,20.61,4.96,2.99,1.0437,2.5915,1.6573,0.976,79.01,5.0,8.08,9.11
BATCH_0623,66.79,20.3,5.4,3.69,1.0163,2.2324,1.462,0.3,72.47,5.0,8.06,11.24
BATCH_0624,67.99,22.03,4.2,3.75,0.9829,2.7735,1.121,1.357,68.12,11.78,4.79,11.4
BATCH_0625,67.61,21.3,4.53,3.21,1.0066,2.7518,1.4121,1.09,72.26,6.55,6.58,9.76
BATCH_0626,66.7,21.55,4.86,3.91,0.9708,2.4571,1.2439,1.001,63.6,13.8,6.27,11.89
BATCH_0627,67.14,20.98,5.57,3.0,0.9965,2.4465,1.8541,1.003,66.27,10.15,9.68,9.14
BATCH_0628,68.73,22.13,5.64,3.09,0.9713,2.5334,1.8256,0.48,65.52,14.03,9.73,9.41
BATCH_0629,68.31,22.71,5.05,2.53,0.9579,2.9958,2.0001,0.331,64.59,16.4,9.12,7.69
BATCH_0630,66.34,20.38,4.87,3.77,1.015,2.3604,1.2905,0.558,72.72,5.0,6.51,11.47
BATCH_0631,66.11,20.66,5.05,4.15,0.9923,2.2468,1.2183,1.064,66.15,9.34,6.37,12.62
BATCH_0632,67.35,21.45,5.51,3.38,0.978,2.4129,1.6319,0.944,64.75,12.65,8.89,10.28
BATCH_0633,67.66,21.69,4.99,3.6,0.9799,2.525,1.3835,1.12,65.44,12.81,7.11,10.97
BATCH_0634,66.4,20.63,4.77,3.87,1.006,2.3885,1.2337,0.926,70.54,5.93,6.1,11.77
BATCH_0635,69.22,21.88,4.92,3.1,1.0006,2.7313,1.5881,0.384,74.65,6.42,7.79,9.42
BATCH_0636,66.35,20.69,4.75,3.94,1.0023,2.3802,1.2039,1.209,68.21,7.86,5.91,12.0
BATCH_0637,64.4,21.8,4.61,2.64,0.9432,3.007,1.7477,1.126,54.8,21.15,7.75,8.03
BATCH_0638,65.4,21.3,4.97,3.71,0.9616,2.4552,1.3382,0.3,63.91,12.85,6.88,11.29
BATCH_0639,68.77,20.98,4.72,3.37,1.0326,2.5942,1.3994,0.823,78.82,5.0,6.8,10.26
BATCH_0640,66.76,20.49,5.5,2.67,1.0159,2.5077,2.0603,0.881,69.93,5.99,10.06,8.13
BATCH_0641,67.32,22.37,5.14,3.06,0.9507,2.7262,1.6796,0.685,60.03,18.86,8.45,9.32
BATCH_0642,69.37,20.39,5.11,3.22,1.0619,2.4467,1.5858,0.85,82.9,5.0,8.09,9.81
BATCH_0643,65.06,21.37,5.7,2.9,0.9491,2.4842,1.9663,1.233,53.56,20.85,10.2,8.82
BATCH_0644,70.27,22.37,5.62,3.33,0.982,2.499,1.6884,1.102,67.23,13.43,9.27,10.13
BATCH_0645,67.46,22.63,4.87,3.46,0.9441,2.7179,1.4059,1.09,58.93,20.42,7.04,10.53
BATCH_0646,65.91,21.86,4.99,3.37,0.9497,2.6126,1.4801,0.557,60.12,17.32,7.52,10.27
BATCH_0647,67.52,21.28,5.37,2.99,0.9933,2.545,1.7983,0.503,69.46,8.61,9.18,9.09
BATCH_0648,68.35,20.63,5.04,3.5,1.0342,2.4171,1.4418,1.501,74.63,5.0,7.44,10.64
BATCH_0649,66.3,19.44,4.68,2.69,1.0732,2.64,1.7411,1.318,80.68,5.0,7.85,8.17
BATCH_0650,68.24,21.95,4.67,3.32,0.9855,2.7454,1.4064,1.34,67.56,11.98,6.76,10.11
BATCH_0651,64.7,20.09,4.79,3.65,1.0049,2.3782,1.3117,0.563,68.58,5.86,6.52,11.12
BATCH_0652,65.91,20.62,5.96,2.98,0.9865,2.3072,1.9978,1.742,58.7,14.83,10.74,9.07
BATCH_0653,64.9,23.06,4.87,3.23,0.8952,2.8454,1.5076,0.562,47.21,30.48,7.44,9.83
BATCH_0654,65.16,20.49,3.99,3.28,1.0134,2.8209,1.2154,0.92,73.07,5.0,5.01,9.98
BATCH_0655,65.02,21.32,4.49,3.02,0.9698,2.839,1.4862,0.723,63.61,13.14,6.79,9.19
BATCH_0656,69.79,22.09,4.64,3.09,1.0052,2.8588,1.5014,0.8,75.14,6.65,7.06,9.4
BATCH_0657,67.23,23.22,5.47,2.79,0.9162,2.8111,1.9637,0.573,52.81,26.72,9.79,8.48
BATCH_0658,68.59,22.14,4.85,3.2,0.9816,2.7509,1.5164,0.892,68.1,12.09,7.44,9.73
BATCH_0659,67.2,21.09,5.04,3.09,1.0016,2.596,1.6321,1.215,68.07,9.1,8.13,9.39
BATCH_0660,66.36,19.45,5.11,3.45,1.0564,2.2723,1.4799,0.931,76.55,5.0,7.69,10.5
BATCH_0661,66.73,20.73,4.61,3.71,1.0114,2.4899,1.2413,0.659,73.76,5.0,5.93,11.3
BATCH_0662,66.8,21.74,5.61,3.23,0.9582,2.4603,1.7354,1.091,58.87,17.93,9.39,9.83
BATCH_0663,66.46,21.06,5.25,3.32,0.9856,2.46,1.5829,0.976,64.7,11.58,8.3,10.09
BATCH_0664,67.59,20.92,4.09,3.21,1.0307,2.8649,1.2735,1.217,76.42,5.0,5.41,9.77
BATCH_0665,66.51,21.47,4.53,3.26,0.9831,2.7585,1.3897,0.932,67.47,10.64,6.48,9.91
BATCH_0666,68.79,21.77,4.51,2.85,1.0082,2.9606,1.5847,0.766,75.53,5.45,7.13,8.66
BATCH_0667,66.18,21.33,5.09,2.72,0.9788,2.73,1.8691,0.548,65.73,11.58,8.88,8.29
BATCH_0668,67.89,21.16,5.16,3.64,1.0012,2.4052,1.4157,0.605,72.14,6.25,7.5,11.08
BATCH_0669,65.52,21.06,5.6,3.38,0.965,2.3446,1.6561,0.785,59.1,15.8,9.12,10.29
BATCH_0670,67.04,20.86,4.14,3.08,1.0255,2.8891,1.3455,0.858,76.82,5.0,5.77,9.37
BATCH_0671,67.18,20.78,5.13,3.69,1.0064,2.3566,1.3907,0.597,72.11,5.18,7.35,11.23
BATCH_0672,67.46,21.51,5.04,3.47,0.9845,2.5276,1.4552,1.149,65.78,12.04,7.5,10.55
BATCH_0673,67.77,20.28,5.05,3.08,1.045,2.4943,1.6412,1.112,77.13,5.0,8.18,9.37
BATCH_0674,68.26,21.22,4.32,3.22,1.0234,2.8157,1.3423,1.156,76.01,5.0,6.0,9.79
BATCH_0675,68.12,21.92,4.66,3.66,0.9823,2.6375,1.2728,0.835,69.11,10.72,6.15,11.13
BATCH_0676,67.35,21.68,5.4,3.29,0.9713,2.494,1.6407,0.3,65.35,12.87,8.74,10.02
BATCH_0677,67.09,19.68,4.85,2.94,1.068,2.5282,1.6516,1.228,80.56,5.0,7.88,8.93
BATCH_0678,67.08,21.44,4.9,2.8,0.9903,2.7841,1.7486,1.366,66.28,11.47,8.24,8.53
BATCH_0679,64.64,20.94,4.95,3.23,0.9695,2.5589,1.53,0.881,61.38,13.73,7.64,9.84
BATCH_0680,65.88,23.76,4.47,3.37,0.8892,3.0293,1.3272,0.851,47.68,32.15,6.15,10.26
BATCH_0681,67.64,21.04,5.34,3.5,1.0007,2.3798,1.5273,0.391,70.89,6.84,8.24,10.64
BATCH_0682,66.96,19.42,4.49,3.54,1.079,2.4181,1.2667,0.55,85.04,5.0,5.9,10.78
BATCH_0683,65.45,21.12,4.72,3.77,0.9736,2.4888,1.2522,0.63,64.42,11.94,6.13,11.46
BATCH_0684,68.57,20.86,4.91,3.7,1.0282,2.4244,1.3273,0.849,77.64,5.0,6.75,11.25
BATCH_0685,68.41,19.99,4.19,3.47,1.0814,2.6123,1.2078,0.3,90.91,5.0,5.23,10.55
BATCH_0686,66.88,21.36,5.15,2.88,0.9855,2.6603,1.7868,0.685,66.62,10.99,8.77,8.77
BATCH_0687,66.14,21.66,4.07,3.52,0.9755,2.8536,1.1557,0.655,67.46,11.19,4.82,10.71
BATCH_0688,66.72,20.22,5.25,3.26,1.0261,2.3755,1.61,1.029,72.4,5.0,8.39,9.92
BATCH_0689,67.04,21.91,4.8,3.68,0.9646,2.5828,1.3066,0.974,63.21,15.12,6.51,11.19
BATCH_0690,66.0,22.66,4.42,3.53,0.9289,2.85,1.255,0.409,58.69,20.69,5.76,10.73
BATCH_0691,68.84,22.61,4.27,2.79,0.98,3.2023,1.533,1.037,69.94,12.05,6.61,8.48
BATCH_0692,64.33,21.05,4.48,3.45,0.9666,2.6523,1.297,0.642,63.35,12.55,6.03,10.51
BATCH_0693,67.13,21.4,5.09,3.25,0.9851,2.5661,1.5692,0.806,67.23,10.64,8.01,9.88
BATCH_0694,64.28,22.3,4.78,3.16,0.9151,2.8066,1.5116,1.2,48.43,27.41,7.32,9.63
BATCH_0695,65.79,23.31,4.64,3.36,0.9008,2.9123,1.3814,0.56,50.13,29.02,6.62,10.23
BATCH_0696,64.83,21.09,4.72,2.88,0.9737,2.7737,1.64,1.303,60.59,14.74,7.64,8.76
BATCH_0697,68.82,21.18,5.82,3.37,1.0048,2.3036,1.7249,1.248,67.92,9.49,9.71,10.27
BATCH_0698,67.58,21.58,5.12,2.82,0.988,2.7168,1.8126,0.3,70.31,8.83,8.79,8.59
BATCH_0699,67.61,22.91,4.64,3.12,0.9424,2.9548,1.488,0.531,60.49,20.05,7.02,9.48
BATCH_0700,67.77,22.17,4.84,3.04,0.97,2.8149,1.5942,0.965,64.85,14.65,7.69,9.24
BATCH_0701,68.87,19.88,5.3,3.72,1.0689,2.2046,1.425,1.102,82.67,5.0,7.75,11.31
BATCH_0702,65.61,22.46,4.69,3.41,0.9277,2.7724,1.3735,0.922,54.03,23.62,6.65,10.38
BATCH_0703,66.76,21.64,4.61,2.94,0.9814,2.8664,1.5651,0.782,67.49,11.12,7.23,8.95
BATCH_0704,68.33,21.46,5.03,2.79,1.006,2.7436,1.8003,1.363,69.8,8.86,8.6,8.5
BATCH_0705,67.81,20.2,5.38,3.04,1.0434,2.3995,1.7686,1.11,75.68,5.0,9.11,9.25
BATCH_0706,70.64,21.24,5.56,2.77,1.0397,2.5489,2.0088,1.446,77.13,5.0,10.06,8.43
BATCH_0707,68.21,21.78,5.56,2.71,0.9828,2.6351,2.0501,0.896,65.87,12.75,10.14,8.25
